pop,Geno_Code,CL-blue
1,Z001E0001,125.3
1,Z001E0002,118.62
1,Z001E0003,124.4
1,Z001E0004,122
1,Z001E0005,139.46
1,Z001E0006,138.23
1,Z001E0007,114.89
1,Z001E0008,129.82
1,Z001E0009,127.31
1,Z001E0010,142.29
1,Z001E0012,126.02
1,Z001E0013,122.1
1,Z001E0014,131.43
1,Z001E0015,127.86
1,Z001E0016,114.15
1,Z001E0017,144.29
1,Z001E0018,114.85
1,Z001E0019,132.7
1,Z001E0020,120.27
1,Z001E0021,126.17
1,Z001E0022,145.58
1,Z001E0023,124.7
1,Z001E0024,123.11
1,Z001E0025,121.09
1,Z001E0027,112.4
1,Z001E0028,124.29
1,Z001E0030,145.08
1,Z001E0031,142.88
1,Z001E0032,136.14
1,Z001E0033,136.38
1,Z001E0034,141.05
1,Z001E0036,130.47
1,Z001E0037,122.53
1,Z001E0038,135.12
1,Z001E0039,134.01
1,Z001E0040,135.87
1,Z001E0041,133.51
1,Z001E0042,139.24
1,Z001E0043,123.05
1,Z001E0044,136.05
1,Z001E0045,137.33
1,Z001E0046,122.5
1,Z001E0047,135.08
1,Z001E0048,144.72
1,Z001E0049,133.23
1,Z001E0050,140.66
1,Z001E0051,126.37
1,Z001E0052,121.49
1,Z001E0053,141.94
1,Z001E0054,121.26
1,Z001E0055,130.03
1,Z001E0056,146.9
1,Z001E0057,159.14
1,Z001E0058,134.39
1,Z001E0059,114.16
1,Z001E0060,127.09
1,Z001E0061,138.68
1,Z001E0062,140.49
1,Z001E0063,137.72
1,Z001E0064,96.97
1,Z001E0065,113.17
1,Z001E0066,131.72
1,Z001E0067,141.36
1,Z001E0068,142.59
1,Z001E0069,141.25
1,Z001E0070,122.39
1,Z001E0071,132.38
1,Z001E0072,127.79
1,Z001E0073,126.01
1,Z001E0074,141.55
1,Z001E0075,140.09
1,Z001E0076,140.17
1,Z001E0077,139.65
1,Z001E0078,146
1,Z001E0079,136.49
1,Z001E0080,141.44
1,Z001E0081,125.11
1,Z001E0082,138.07
1,Z001E0083,134.89
1,Z001E0085,130.25
1,Z001E0086,143.47
1,Z001E0087,142.05
1,Z001E0088,113.28
1,Z001E0089,121.18
1,Z001E0090,134
1,Z001E0091,113.89
1,Z001E0092,125.4
1,Z001E0093,119.85
1,Z001E0094,134.56
1,Z001E0095,131.72
1,Z001E0096,120.35
1,Z001E0097,141.25
1,Z001E0098,129.79
1,Z001E0099,130.93
1,Z001E0100,104.55
1,Z001E0101,122.46
1,Z001E0102,145.07
1,Z001E0103,129.73
1,Z001E0104,122.59
1,Z001E0105,124.64
1,Z001E0107,146.39
1,Z001E0108,116.05
1,Z001E0109,138.14
1,Z001E0110,131.67
1,Z001E0111,128.96
1,Z001E0112,129.79
1,Z001E0113,119.85
1,Z001E0114,139.78
1,Z001E0115,129.9
1,Z001E0116,142.64
1,Z001E0117,134.76
1,Z001E0118,140.97
1,Z001E0119,125.86
1,Z001E0120,141.48
1,Z001E0121,123.95
1,Z001E0122,131.53
1,Z001E0123,126.84
1,Z001E0124,100.89
1,Z001E0125,120.37
1,Z001E0126,126.91
1,Z001E0127,121.24
1,Z001E0128,128.86
1,Z001E0129,142.59
1,Z001E0130,141.1
1,Z001E0131,167.38
1,Z001E0134,125.28
1,Z001E0135,152.37
1,Z001E0136,121.53
