"pop","Geno_Code","CL-blue","SL-blue","KRN-blue"
5,"Z005E0001",150.85,6.779,14.47
5,"Z005E0003",118.17,"",""
5,"Z005E0006",103.58,"",""
5,"Z005E0007",118.69,"",""
5,"Z005E0008",107.06,"",""
5,"Z005E0009",129.47,"",""
5,"Z005E0010",133.73,8.28,15.29
5,"Z005E0011",125.07,"",""
5,"Z005E0012",133.81,"",""
5,"Z005E0013",139.49,"",""
5,"Z005E0014",153.24000000000004,"",""
5,"Z005E0015",125.35,"",""
5,"Z005E0016",125.11,9.073,12.29
5,"Z005E0017",112.96,"",""
5,"Z005E0019",123.77,5.499,10.47
5,"Z005E0020",133.92,"",""
5,"Z005E0021",129.2,"",""
5,"Z005E0022",121,"",""
5,"Z005E0023",115.91,"",""
5,"Z005E0024",132.31,"",""
5,"Z005E0025",129.08,"",""
5,"Z005E0027",111.51,"",""
5,"Z005E0028",114.7,"",""
5,"Z005E0029",128.17,"",""
5,"Z005E0032",117.89,"",14.29
5,"Z005E0032","","",14.29
5,"Z005E0033",135.61000000000004,"",""
5,"Z005E0034",117.58,"",""
5,"Z005E0035",126.69,"",""
5,"Z005E0036",115.79,"",""
5,"Z005E0037",120.93,7.44,12.47
5,"Z005E0038",125.16,"",""
5,"Z005E0039",114.12,"",""
5,"Z005E0040",116.14,"",""
5,"Z005E0042",138.14,"",""
5,"Z005E0043",115.71,"",""
5,"Z005E0044",123.73,"",""
5,"Z005E0045",107.29,"",""
5,"Z005E0046",122.11,"",""
5,"Z005E0047",144.8,"",""
5,"Z005E0048",126.84,8.448,14.29
5,"Z005E0049",122.84,"",""
5,"Z005E0053",128.27,7.443,14.47
5,"Z005E0054",115.11,"",""
5,"Z005E0055",102.65,"",""
5,"Z005E0056",119.18,"",""
5,"Z005E0057",140.54,"",""
5,"Z005E0058",103.92,12.19,13.29
5,"Z005E0059",91.34,"",""
5,"Z005E0060",132.09,"",""
5,"Z005E0061",124.88,"",""
5,"Z005E0062",117.56,7.12,15.47
5,"Z005E0063",120.06,"",""
5,"Z005E0064",131.73,"",""
5,"Z005E0066",97.15,"",""
5,"Z005E0067",115.3,"",""
5,"Z005E0068",155.28,"",""
5,"Z005E0069",139.53,"",""
5,"Z005E0070",106.19,"",""
5,"Z005E0071",125.81,8.567,11.47
5,"Z005E0072",128.1,7.221,12.47
5,"Z005E0074",135.54,"",""
5,"Z005E0075",131.2,4.82,13.47
5,"Z005E0076",108.81,"",""
5,"Z005E0077",105.76,"",""
5,"Z005E0078",120.45,"",""
5,"Z005E0079",131.93,9.331,14.29
5,"Z005E0080",143.03,"",""
5,"Z005E0081",114.12,"",""
5,"Z005E0082",120.18,"",""
5,"Z005E0083",117.21,"",""
5,"Z005E0084",110.1,"",""
5,"Z005E0085",139.17,"",""
5,"Z005E0087",123.61,"",""
5,"Z005E0090",123.92,"",""
5,"Z005E0093",123.59,"",""
5,"Z005E0094",119.01,"",""
5,"Z005E0095",112.99,"",""
5,"Z005E0096",128.36,"",""
5,"Z005E0097",139.4,"",""
5,"Z005E0098",109.4,"",""
5,"Z005E0099",114.47,"",""
5,"Z005E0100",108.32,"",""
5,"Z005E0101",113,"",""
5,"Z005E0102",122.71,"",""
5,"Z005E0103",124.62,"",""
