"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z026E0181",26,79.01,"bottom"
"CL-blue","Z025E0082",25,87.05,"bottom"
"CL-blue","Z015E0007",15,90.01,"bottom"
"CL-blue","Z011E0112",11,91.09,"bottom"
"CL-blue","Z005E0059",5,91.34,"bottom"
"CL-blue","Z002E0060",2,91.68,"bottom"
"CL-blue","Z020E0097",20,91.75,"bottom"
"CL-blue","Z025E0070",25,91.75,"bottom"
"CL-blue","Z024E0187",24,92.55,"bottom"
"CL-blue","Z016E0024",16,92.67,"bottom"
"CL-blue","Z020E0160",20,92.80000000000001,"bottom"
"CL-blue","Z011E0141",11,92.84,"bottom"
"CL-blue","Z026E0080",26,92.89,"bottom"
"CL-blue","Z011E0144",11,92.98,"bottom"
"CL-blue","Z024E0006",24,93.51,"bottom"
"CL-blue","Z011E0174",11,94.11,"bottom"
"CL-blue","Z013E0084",13,94.25,"bottom"
"CL-blue","Z016E0005",16,94.36999999999999,"bottom"
"CL-blue","Z011E0044",11,94.45,"bottom"
"CL-blue","Z026E0016",26,94.55,"bottom"
"CL-blue","Z020E0133",20,94.67,"bottom"
"CL-blue","Z026E0134",26,95.37,"bottom"
"CL-blue","Z020E0024",20,95.47,"bottom"
"CL-blue","Z024E0017",24,96,"bottom"
"CL-blue","Z006E0140",6,96.03,"bottom"
"CL-blue","Z024E0116",24,96.19,"bottom"
"CL-blue","Z011E0082",11,96.32,"bottom"
"CL-blue","Z015E0058",15,96.43,"bottom"
"CL-blue","Z026E0148",26,96.45,"bottom"
"CL-blue","Z011E0139",11,96.86,"bottom"
"CL-blue","Z008E0046",8,96.9,"bottom"
"CL-blue","Z001E0064",1,96.97,"bottom"
"CL-blue","Z025E0096",25,97.13,"bottom"
"CL-blue","Z005E0066",5,97.15,"bottom"
"CL-blue","Z005E0152",5,97.16,"bottom"
"CL-blue","Z020E0040",20,97.27,"bottom"
"CL-blue","Z011E0142",11,97.39,"bottom"
"CL-blue","Z024E0068",24,97.54,"bottom"
"CL-blue","Z010E0049",10,97.74,"bottom"
"CL-blue","Z020E0186",20,98.33,"bottom"
"CL-blue","Z025E0154",25,98.5,"bottom"
"CL-blue","Z024E0041",24,98.68,"bottom"
"CL-blue","Z004E0171",4,98.74,"bottom"
"CL-blue","Z008E0200",8,98.95,"bottom"
"CL-blue","Z004E0045",4,98.99,"bottom"
"CL-blue","Z010E0151",10,99.08,"bottom"
