"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z001E0064",1,96.97,"bottom"
"CL-blue","Z001E0124",1,100.88999999999999,"bottom"
"CL-blue","Z001E0100",1,104.55,"bottom"
"CL-blue","Z001E0199",1,105.85,"bottom"
"CL-blue","Z001E0027",1,112.4,"bottom"
"CL-blue","Z001E0065",1,113.17,"bottom"
"CL-blue","Z001E0088",1,113.28,"bottom"
"CL-blue","Z001E0091",1,113.89,"bottom"
"CL-blue","Z001E0190",1,113.97,"bottom"
"CL-blue","Z001E0016",1,114.15,"bottom"
"CL-blue","Z001E0059",1,114.16,"bottom"
"CL-blue","Z001E0148",1,114.76,"bottom"
"CL-blue","Z001E0018",1,114.85,"bottom"
"CL-blue","Z001E0007",1,114.89,"bottom"
"CL-blue","Z001E0175",1,115.49,"bottom"
"CL-blue","Z001E0108",1,116.05,"bottom"
"CL-blue","Z001E0169",1,116.78,"bottom"
"CL-blue","Z001E0154",1,118.16,"bottom"
"CL-blue","Z001E0170",1,118.36,"bottom"
"CL-blue","Z001E0017",1,144.29,"top"
"CL-blue","Z001E0196",1,144.32,"top"
"CL-blue","Z001E0048",1,144.72,"top"
"CL-blue","Z001E0192",1,145.04,"top"
"CL-blue","Z001E0102",1,145.07,"top"
"CL-blue","Z001E0030",1,145.08,"top"
"CL-blue","Z001E0022",1,145.58,"top"
"CL-blue","Z001E0181",1,145.81,"top"
"CL-blue","Z001E0078",1,146,"top"
"CL-blue","Z001E0182",1,146.24,"top"
"CL-blue","Z001E0107",1,146.39,"top"
"CL-blue","Z001E0056",1,146.9,"top"
"CL-blue","Z001E0156",1,147.18,"top"
"CL-blue","Z001E0185",1,148.93,"top"
"CL-blue","Z001E0144",1,149.49,"top"
"CL-blue","Z001E0135",1,152.37,"top"
"CL-blue","Z001E0057",1,159.14,"top"
"CL-blue","Z001E0131",1,167.38,"top"
"CL-blue","Z002E0060",2,91.68,"bottom"
"CL-blue","Z002E0113",2,103.79000000000002,"bottom"
"CL-blue","Z002E0072",2,108.45,"bottom"
"CL-blue","Z002E0036",2,110.13,"bottom"
"CL-blue","Z002E0042",2,112.24,"bottom"
"CL-blue","Z002E0057",2,112.42,"bottom"
"CL-blue","Z002E0049",2,112.82,"bottom"
"CL-blue","Z002E0193",2,112.95,"bottom"
"CL-blue","Z002E0044",2,116.67,"bottom"
"CL-blue","Z002E0051",2,117.32,"bottom"
"CL-blue","Z002E0101",2,117.49,"bottom"
"CL-blue","Z002E0179",2,117.8,"bottom"
"CL-blue","Z002E0162",2,118.08,"bottom"
"CL-blue","Z002E0136",2,118.24,"bottom"
"CL-blue","Z002E0050",2,118.72,"bottom"
"CL-blue","Z002E0125",2,119.01,"bottom"
"CL-blue","Z002E0133",2,119.54,"bottom"
"CL-blue","Z002E0194",2,119.64,"bottom"
"CL-blue","Z002E0139",2,150.85,"top"
"CL-blue","Z002E0076",2,151.49,"top"
"CL-blue","Z002E0007",2,151.66,"top"
"CL-blue","Z002E0023",2,152.19,"top"
"CL-blue","Z002E0172",2,152.78,"top"
"CL-blue","Z002E0053",2,152.82,"top"
"CL-blue","Z002E0019",2,152.84,"top"
"CL-blue","Z002E0151",2,153.15,"top"
"CL-blue","Z002E0156",2,153.66,"top"
"CL-blue","Z002E0080",2,154.79,"top"
"CL-blue","Z002E0086",2,154.86,"top"
"CL-blue","Z002E0081",2,155.07,"top"
"CL-blue","Z002E0175",2,156.95,"top"
"CL-blue","Z002E0030",2,157.11,"top"
"CL-blue","Z002E0145",2,159.05,"top"
"CL-blue","Z002E0187",2,160.17,"top"
"CL-blue","Z002E0112",2,162.71,"top"
"CL-blue","Z003E0185",3,108.58,"bottom"
"CL-blue","Z003E0016",3,109.78,"bottom"
"CL-blue","Z003E0100",3,113.5,"bottom"
"CL-blue","Z003E0087",3,113.56,"bottom"
"CL-blue","Z003E0027",3,114.52,"bottom"
"CL-blue","Z003E0101",3,117.46,"bottom"
"CL-blue","Z003E0024",3,117.81,"bottom"
"CL-blue","Z003E0047",3,118.98,"bottom"
"CL-blue","Z003E0002",3,119.67,"bottom"
"CL-blue","Z003E0058",3,119.87,"bottom"
"CL-blue","Z003E0042",3,120.05,"bottom"
"CL-blue","Z003E0168",3,120.95,"bottom"
"CL-blue","Z003E0084",3,121.09,"bottom"
"CL-blue","Z003E0068",3,121.13,"bottom"
"CL-blue","Z003E0032",3,121.8,"bottom"
"CL-blue","Z003E0103",3,122.22,"bottom"
"CL-blue","Z003E0022",3,122.29,"bottom"
"CL-blue","Z003E0144",3,122.82,"bottom"
"CL-blue","Z003E0172",3,154.79,"top"
"CL-blue","Z003E0161",3,155.29,"top"
"CL-blue","Z003E0001",3,155.66,"top"
"CL-blue","Z003E0089",3,155.67,"top"
"CL-blue","Z003E0171",3,155.97,"top"
"CL-blue","Z003E0044",3,157.28,"top"
"CL-blue","Z003E0145",3,157.98,"top"
"CL-blue","Z003E0192",3,158.56,"top"
"CL-blue","Z003E0105",3,158.91,"top"
"CL-blue","Z003E0131",3,159.2,"top"
"CL-blue","Z003E0152",3,159.46,"top"
"CL-blue","Z003E0051",3,160.79,"top"
"CL-blue","Z003E0138",3,160.97,"top"
"CL-blue","Z003E0014",3,161.39,"top"
"CL-blue","Z003E0050",3,163.39,"top"
"CL-blue","Z003E0174",3,169.27,"top"
"CL-blue","Z003E0140",3,180.74,"top"
"CL-blue","Z004E0171",4,98.74,"bottom"
"CL-blue","Z004E0045",4,98.99,"bottom"
"CL-blue","Z004E0085",4,102.36,"bottom"
"CL-blue","Z004E0101",4,102.99,"bottom"
"CL-blue","Z004E0110",4,103.29,"bottom"
"CL-blue","Z004E0019",4,106.02,"bottom"
"CL-blue","Z004E0131",4,108.08,"bottom"
"CL-blue","Z004E0107",4,108.29,"bottom"
"CL-blue","Z004E0071",4,108.36,"bottom"
"CL-blue","Z004E0165",4,109.48,"bottom"
"CL-blue","Z004E0082",4,109.62,"bottom"
"CL-blue","Z004E0099",4,110.34,"bottom"
"CL-blue","Z004E0134",4,110.42,"bottom"
"CL-blue","Z004E0179",4,110.42,"bottom"
"CL-blue","Z004E0126",4,110.77,"bottom"
"CL-blue","Z004E0167",4,110.82,"bottom"
"CL-blue","Z004E0081",4,111.46,"bottom"
"CL-blue","Z004E0066",4,112.18,"bottom"
"CL-blue","Z004E0173",4,112.25,"bottom"
"CL-blue","Z004E0170",4,137.29,"top"
"CL-blue","Z004E0153",4,137.61,"top"
"CL-blue","Z004E0166",4,137.91,"top"
"CL-blue","Z004E0098",4,138.25,"top"
"CL-blue","Z004E0148",4,138.62,"top"
"CL-blue","Z004E0013",4,139.03,"top"
"CL-blue","Z004E0115",4,139.72,"top"
"CL-blue","Z004E0028",4,141.3,"top"
"CL-blue","Z004E0159",4,143.68,"top"
"CL-blue","Z004E0043",4,144.48,"top"
"CL-blue","Z004E0187",4,145.4,"top"
"CL-blue","Z004E0012",4,145.53,"top"
"CL-blue","Z004E0010",4,148.97,"top"
"CL-blue","Z004E0023",4,149.03,"top"
"CL-blue","Z004E0083",4,149.16,"top"
"CL-blue","Z004E0059",4,149.49,"top"
"CL-blue","Z004E0054",4,151.93,"top"
"CL-blue","Z004E0117",4,155.72,"top"
"CL-blue","Z005E0059",5,91.34,"bottom"
"CL-blue","Z005E0066",5,97.15,"bottom"
"CL-blue","Z005E0152",5,97.16,"bottom"
"CL-blue","Z005E0055",5,102.65,"bottom"
"CL-blue","Z005E0006",5,103.58,"bottom"
"CL-blue","Z005E0058",5,103.92,"bottom"
"CL-blue","Z005E0191",5,103.98,"bottom"
"CL-blue","Z005E0113",5,105.34,"bottom"
"CL-blue","Z005E0077",5,105.76,"bottom"
"CL-blue","Z005E0163",5,105.85,"bottom"
"CL-blue","Z005E0070",5,106.19,"bottom"
"CL-blue","Z005E0008",5,107.06,"bottom"
"CL-blue","Z005E0045",5,107.29,"bottom"
"CL-blue","Z005E0100",5,108.32,"bottom"
"CL-blue","Z005E0076",5,108.81,"bottom"
"CL-blue","Z005E0192",5,109.22,"bottom"
"CL-blue","Z005E0098",5,109.4,"bottom"
"CL-blue","Z005E0130",5,109.46,"bottom"
"CL-blue","Z005E0097",5,139.4,"top"
"CL-blue","Z005E0013",5,139.49,"top"
"CL-blue","Z005E0069",5,139.53,"top"
"CL-blue","Z005E0146",5,139.64,"top"
"CL-blue","Z005E0144",5,139.89,"top"
"CL-blue","Z005E0108",5,140.51,"top"
"CL-blue","Z005E0057",5,140.54,"top"
"CL-blue","Z005E0159",5,141.16,"top"
"CL-blue","Z005E0173",5,141.46,"top"
"CL-blue","Z005E0080",5,143.03,"top"
"CL-blue","Z005E0047",5,144.8,"top"
"CL-blue","Z005E0172",5,149.82,"top"
"CL-blue","Z005E0133",5,150.52,"top"
"CL-blue","Z005E0197",5,150.84,"top"
"CL-blue","Z005E0001",5,150.85,"top"
"CL-blue","Z005E0014",5,153.24000000000004,"top"
"CL-blue","Z005E0068",5,155.28,"top"
"CL-blue","Z006E0140",6,96.03,"bottom"
"CL-blue","Z006E0078",6,102.11,"bottom"
"CL-blue","Z006E0069",6,103.69,"bottom"
"CL-blue","Z006E0101",6,103.86,"bottom"
"CL-blue","Z006E0183",6,104.49,"bottom"
"CL-blue","Z006E0017",6,104.85,"bottom"
"CL-blue","Z006E0012",6,105.5,"bottom"
"CL-blue","Z006E0008",6,105.9,"bottom"
"CL-blue","Z006E0122",6,106.43,"bottom"
"CL-blue","Z006E0151",6,109.91,"bottom"
"CL-blue","Z006E0085",6,109.94,"bottom"
"CL-blue","Z006E0119",6,110.17,"bottom"
"CL-blue","Z006E0093",6,110.63,"bottom"
"CL-blue","Z006E0164",6,111.33,"bottom"
"CL-blue","Z006E0014",6,111.96,"bottom"
"CL-blue","Z006E0043",6,112.29,"bottom"
"CL-blue","Z006E0007",6,112.33,"bottom"
"CL-blue","Z006E0135",6,139.75,"top"
"CL-blue","Z006E0112",6,140.2,"top"
"CL-blue","Z006E0194",6,140.7,"top"
"CL-blue","Z006E0077",6,140.8,"top"
"CL-blue","Z006E0173",6,140.84,"top"
"CL-blue","Z006E0157",6,141.57,"top"
"CL-blue","Z006E0123",6,141.89,"top"
"CL-blue","Z006E0118",6,143.06,"top"
"CL-blue","Z006E0180",6,143.47,"top"
